REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
O'HIGGINS,CHÉPICA,840.0999999999999,60.8,601.3,313.2,235,Medio bajo,15037.0,13939.0,14047.0,Zona Central
AYSÉN,CISNES,867.7,200.4,622.5,476.6,70,Medio,6517.0,5321.0,4469.0,Zona Austral
BIOBÍO-ÑUBLE,COBQUECURA,408.1,32.5,577.5,197.1,335,Bajo,5012.0,5579.0,6285.0,Zona Sur
LOS LAGOS,COCHAMÓ,398.2,52.400000000000006,587.7,230.6,323,Bajo,4023.0,4323.0,4346.0,Zona Sur
AYSÉN,COCHRANE,861.3,141.5,597.4000000000001,417.6,112,Medio,3490.0,2895.0,2728.0,Zona Austral
O'HIGGINS,CODEGUA,877.5,95.2,579.2,364.4,166,Medio bajo,12988.0,10632.0,9269.0,Zona Central
BIOBÍO-ÑUBLE,COELEMU,676.5,108.4,699.2,371.5,157,Medio bajo,15995.0,16024.0,16602.0,Zona Sur
BIOBÍO-ÑUBLE,COIHUECO,690.6,57.8,651.4,296.3,261,Medio bajo,26881.0,23552.0,22586.0,Zona Sur
O'HIGGINS,COINCO,783.6999999999999,65.4,563.1,306.8,248,Medio bajo,7359.0,6368.0,5763.0,Zona Central
MAULE,COLBÚN,764.3,55.9,586.4,292.6,266,Medio bajo,20765.0,17618.0,16851.0,Zona Central
TARAPACÁ,COLCHANE,386.0,30.1,491.2000000000001,178.7,339,Bajo,1728.0,1474.0,1554.0,Zona Norte Grande
RM,COLINA,885.5,200.7,783.0,518.2,48,Medio alto,146207.0,76714.0,66465.0,Zona Central
ARAUCANÍA,COLLIPULLI,703.8,115.6,637.9,373.0,156,Medio bajo,24598.0,22381.0,22699.0,Zona Sur
O'HIGGINS,COLTAUCO,793.0,59.5,638.8000000000001,311.3,239,Medio bajo,19597.0,16188.0,14864.0,Zona Central
COQUIMBO,COMBARBALÁ,701.4,47.0,628.8000000000001,274.7,286,Bajo,13322.0,13531.0,14391.0,Zona Norte Chico
BIOBÍO,CONCEPCIÓN,910.2,361.5,796.6999999999999,640.0,8,Alto,223574.0,217322.0,208095.0,Zona Sur
RM,CONCHALÍ,917.0,173.1,638.9,466.3,76,Medio,126955.0,132831.0,154909.0,Zona Central
VALPARAÍSO,CONCÓN,938.1,275.5,784.3,587.4,17,Medio alto,42152.0,32006.0,18306.0,Zona Central
MAULE,CONSTITUCIÓN,838.9,113.3,781.1,420.2000000000001,105,Medio,46068.0,46293.0,40368.0,Zona Central
BIOBÍO,CONTULMO,610.1,47.0,599.8,258.1,305,Bajo,6031.0,5809.0,6739.0,Zona Sur
ATACAMA,COPIAPÓ,909.5,236.3,753.7,545.1,32,Medio alto,153937.0,129279.0,100426.0,Zona Norte Chico
COQUIMBO,COQUIMBO,860.9,218.0,744.3,518.9,47,Medio alto,227730.0,163557.0,121892.0,Zona Norte Chico
BIOBÍO,CORONEL,878.8000000000001,198.0,735.7,504.0,56,Medio alto,116262.0,95482.0,83402.0,Zona Sur
LOS RÍOS,CORRAL,543.8,74.5,570.4,284.8,276,Bajo,5302.0,5321.0,5733.0,Zona Sur
AYSÉN,COYHAIQUE,910.3,216.7,680.6999999999999,512.0,50,Medio alto,57818.0,49489.0,42952.0,Zona Austral
ARAUCANÍA,CUNCO,637.5,44.1,634.8000000000001,261.2,299,Bajo,17526.0,18800.0,18116.0,Zona Sur
ARAUCANÍA,CURACAUTÍN,794.3,73.3,575.0,322.2,228,Medio bajo,17413.0,16861.0,17892.0,Zona Sur
RM,CURACAVÍ,830.7,94.3,715.8,382.7,139,Medio bajo,32579.0,24044.0,19046.0,Zona Central
LOS LAGOS,CURACO DE VÉLEZ,558.2,59.9,583.2,269.2,293,Bajo,3829.0,3379.0,3012.0,Zona Sur
BIOBÍO,CURANILAHUE,860.6,157.5,657.6999999999999,446.7,85,Medio,32288.0,31948.0,33669.0,Zona Sur
ARAUCANÍA,CURARREHUE,464.6,40.3,573.8,220.7,327,Bajo,7489.0,6802.0,5864.0,Zona Sur
MAULE,CUREPTO,669.6,32.4,643.2,240.7,317,Bajo,9448.0,10712.0,12276.0,Zona Central
MAULE,CURICÓ,890.4,217.9,801.1,537.6,40,Medio alto,149136.0,119395.0,103310.0,Zona Central
LOS LAGOS,DALCAHUE,585.3000000000001,105.1,596.0,332.2,215,Medio bajo,13762.0,10679.0,7780.0,Zona Sur
ATACAMA,DIEGO DE ALMAGRO,888.0,146.5,659.9000000000001,441.1,89,Medio,13925.0,18227.0,27462.0,Zona Norte Chico
